Country,State,Year,Residence Type,Household Type,Asset Holding Class,Asset Type,Asset Name,"Average Value Of Assets (Ava) Per Household (UOM:INR(IndianRupees)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,5,Asset Category,Livestock & Poultry,21132
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,5,Asset Category,Farm Business equipment,2175
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,5,Asset Category,Non-Farm Business equipment,3959
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,5,Asset Category,Transport equipment,45943
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,5,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,5,Asset Category,Deposits etc,43888
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,5,Loan Receivable,Cash & Kind,925
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,5,Cash Loan,Cash loan outstanding,33509
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Asset Category,Land,121470
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Asset Category,Building,259460
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Asset Category,Livestock & Poultry,54985
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Asset Category,Farm Business equipment,2278
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Asset Category,Non-Farm Business equipment,108
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Asset Category,Transport equipment,9578
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Asset Category,Deposits etc,65223
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Loan Receivable,Cash & Kind,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,6,Cash Loan,Cash loan outstanding,5410
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Asset Category,Land,171905
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Asset Category,Building,301389
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Asset Category,Livestock & Poultry,16351
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Asset Category,Farm Business equipment,4040
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Asset Category,Non-Farm Business equipment,485
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Asset Category,Transport equipment,17143
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Asset Category,Deposits etc,106957
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Loan Receivable,Cash & Kind,3603
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,7,Cash Loan,Cash loan outstanding,18087
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Asset Category,Land,347424
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Asset Category,Building,467033
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Asset Category,Livestock & Poultry,61272
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Asset Category,Farm Business equipment,1900
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Asset Category,Non-Farm Business equipment,824
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Asset Category,Transport equipment,16660
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Asset Category,Deposits etc,24699
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Loan Receivable,Cash & Kind,2992
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,8,Cash Loan,Cash loan outstanding,8882
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Asset Category,Land,584193
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Asset Category,Building,758162
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Asset Category,Livestock & Poultry,67554
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Asset Category,Farm Business equipment,2602
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Asset Category,Non-Farm Business equipment,249
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Asset Category,Transport equipment,37999
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Asset Category,Deposits etc,141650
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Loan Receivable,Cash & Kind,225
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,9,Cash Loan,Cash loan outstanding,15587
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Asset Category,Land,2492478
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Asset Category,Building,1350752
